Unnamed: 0,Player-name,Average Points,Average Batting-Runs,Average wicket per match,Average sr,Average bowl econ,Matches played
9,vijay-shankar,0.3861815315907001,0.3366332812288929,0.1162570888468809,0.7198777099499295,0.4015245182000703,0.6825396825396826
13,kagiso-rabada,0.811591711083274,0.0652463382157124,1.0,0.5887173697222168,0.8687584710441417,0.6031746031746031
1,devdutt-padikkal,0.654022602663086,0.6918183163189822,0.0,0.6829812262060029,0.0,0.2857142857142857
22,krishnappa-gowtham,0.3879098131363992,0.1685530403905903,0.3218599033816425,0.8835294129700456,0.9420384381250544,0.3333333333333333
5,rohit-sharma,0.468401890154156,0.5373621496124825,0.0,0.6183820881431158,0.01444941700616107,0.9841269841269841
2,jayant-yadav,0.1114840923501548,0.05558021403560685,0.1980676328502415,0.6105000875980612,0.752645157549932,0.09523809523809523
12,shreyas-iyer,0.575696542463914,0.6468386978281832,0.0,0.6837126004944423,0.0,0.873015873015873
15,harbhajan-singh,0.357537852688115,0.0286168150068914,0.484744469870328,0.5548955336968029,0.7919315638430803,0.5555555555555556
3,harpreet-brar,0.5888553205773749,0.2131380381713271,0.4753623188405798,1.0,0.8626141403600314,0.03174603174603174
4,krunal-pandya,0.5146378182631959,0.2843817670715141,0.3871321914800175,0.7367049085504049,0.7639873823020185,1.0
20,ravichandran-ashwin,0.3909939017567416,0.08518271933718005,0.4827898550724638,0.6360436822331667,0.8108965997043222,0.7142857142857143
17,rajat-patidar,0.3042967438737831,0.3860408344429649,0.0,0.5755630608709194,0.0,0.01587301587301587
21,basil-thampi,0.3404833836858006,0.03479804704837994,0.505072463768116,0.4275619651999321,1.0,0.2698412698412698
18,vishnu-vinod,0.0,0.1377422695665039,0.0,0.5288197621225983,0.0,0.0
24,josh-philippe,0.2598858677408526,0.3392809587217044,0.0,0.4219890599754725,0.0,0.03174603174603174
7,kl-rahul,1.0,1.0,0.0,0.7617122183205881,0.0,0.7301587301587301
10,jagadeesha-suchith,0.3728320465480586,0.1449918627015831,0.3961352657004831,0.7981059352552997,0.9479085137838074,0.0
14,liam-livingstone,0.4194360523665659,0.3806036395916556,0.0,0.7067119581086604,0.3391599269501696,0.01587301587301587
19,kieron-pollard,0.4438557079040462,0.412557615487043,0.06399108138238574,0.838423871975876,0.2564450420437898,0.9841269841269841
6,shahbaz-nadeem,0.2853452427864618,0.01418398656863313,0.4391934467548834,0.2676510093243269,0.943749361948298,0.3174603174603174
