sr.no,player,matches,innings,not-outs,Runs scored,Highest Score,Average,BF,Strike-rate,100s,50s,4s,6s

69,owaisshah,,23,22,7,506,76,33.73,389,130.07,0,4,34,23
70,robinuthappa,,189,182,17,4607,87,27.92,"3,544",129.99,0,24,454,163
71,dineshkarthik,,203,184,33,3946,97*,26.13,"3,038",129.88,0,19,390,109
72,andrewsymonds,,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
73,yuvrajsingh,,132,126,15,2750,83,24.77,"2,120",129.71,0,13,217,149
74,simonkatich,,11,11,1,241,75,24.10,186,129.56,0,2,26,8
75,dwaynebravo,,144,105,39,1510,70*,22.87,"1,170",129.05,0,5,118,62
76,stuartbinny,,95,68,23,880,48*,19.55,683,128.84,0,0,66,35
77,stevesmith,,101,91,21,2437,101,34.81,"1,898",128.39,1,11,221,59
78,karunnair,,73,66,5,1480,83*,24.26,"1,153",128.36,0,10,160,39
79,ravindrajadeja,,191,145,59,2290,62*,26.62,"1,788",128.07,0,2,168,82
80,azharmahmood,,23,21,2,388,80,20.42,303,128.05,0,2,39,13
81,ambatirayudu,,166,156,28,3795,100*,29.64,"2,970",127.77,1,20,314,145
82,aaronfinch,,87,85,7,2005,88*,25.70,"1,570",127.70,0,14,204,75
83,axarpatel,,101,72,22,913,44,18.26,715,127.69,0,0,53,43
84,markboucher,,31,24,10,394,50*,28.14,309,127.50,0,1,32,13
85,shikhardhawan,,184,183,25,5577,106*,35.29,"4,379",127.35,2,44,634,116
86,coreyanderson,,30,29,7,538,95*,24.45,423,127.18,0,3,40,31
87,moiseshenriques,,60,52,16,985,74*,27.36,776,126.93,0,5,87,27
88,lendlsimmons,,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
89,cameronwhite,,47,45,9,954,78,26.50,755,126.35,0,6,76,36
90,pawannegi,,50,35,9,365,36,14.03,289,126.29,0,0,27,16
91,vijayshankar,,47,39,12,712,63*,26.37,564,126.24,0,3,45,28
92,shreyasiyer,,79,79,9,2200,96,31.42,"1,745",126.07,0,16,189,83
93,riyanparag,,26,19,3,324,50,20.25,257,126.07,0,1,29,12
94,sunnysohal,,22,20,0,368,62,18.40,292,126.02,0,2,34,18
95,angelomathews,,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
96,eoinmorgan,,73,66,10,1364,68*,24.35,"1,089",125.25,0,5,111,62
97,bradhodge,,66,63,21,1400,73,33.33,"1,118",125.22,0,6,122,43
98,shakibalhasan,,66,49,11,784,66*,20.63,628,124.84,0,2,72,21
99,swapnilasnodkar,,20,20,0,423,60,21.15,339,124.77,0,2,56,10
100,ruturajgaikwad,,13,13,2,400,75,36.36,321,124.61,0,5,41,11
