Unnamed: 0,player-name,all-time-runs-scored,all-time-average,all-time-strike-rate,all-time-100s,all-time-50s,all-time-4s,all-time-6s,all-time-wkts,all-time-ave,all-time-econ,all-time-sr,all-time-catches,ipl-last-n-runs-scored,ipl-last-n-average,ipl-last-n-strike-rate,ipl-last-n-4s,ipl-last-n-6s,ipl-last-n-wkts,ipl-last-n-ave,ipl-last-n-econ,ipl-last-n-sr,ipl-last-n-catches,ipl-last-n-run-outs,ipl-last-n-points,ipl-1-runs-scored,ipl-1-average,ipl-1-strike-rate,ipl-1-4s,ipl-1-6s,ipl-1-wkts,ipl-1-ave,ipl-1-econ,ipl-1-sr,ipl-1-catches,ipl-1-run-outs,ipl-1-points,ipl-2-runs-scored,ipl-2-average,ipl-2-strike-rate,ipl-2-4s,ipl-2-6s,ipl-2-wkts,ipl-2-ave,ipl-2-econ,ipl-2-sr,ipl-2-catches,ipl-2-run-outs,ipl-2-points,ipl-3-runs-scored,ipl-3-average,ipl-3-strike-rate,ipl-3-4s,ipl-3-6s,ipl-3-wkts,ipl-3-ave,ipl-3-econ,ipl-3-sr,ipl-3-catches,ipl-3-run-outs,ipl-3-points,ipl-4-runs-scored,ipl-4-average,ipl-4-strike-rate,ipl-4-4s,ipl-4-6s,ipl-4-wkts,ipl-4-ave,ipl-4-econ,ipl-4-sr,ipl-4-catches,ipl-4-run-outs,ipl-4-points,ipl-5-runs-scored,ipl-5-average,ipl-5-strike-rate,ipl-5-4s,ipl-5-6s,ipl-5-wkts,ipl-5-ave,ipl-5-econ,ipl-5-sr,ipl-5-catches,ipl-5-run-outs,ipl-5-points,points
4450,nitish-rana,0.2047776658512016,0.6409185803757829,0.8047211566833876,0.0,0.2441860465116279,0.2357875116495806,0.1455260570304818,0.05405405405405406,0.2433333333333333,0.5416342412451361,0.3033333333333333,0.08970099667774087,0.352185089974293,0.1559734513274336,0.220849865608601,0.1363636363636364,0.3461538461538461,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.3396551724137931,0.02272727272727273,0.03149606299212598,0.05712701053799224,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04932735426008968,0.06060606060606061,0.07086614173228346,0.1495655389166204,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.07623318385650224,0.4696969696969697,0.0,0.3050797690124302,0.0,0.6363636363636364,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.494949494949495,0.4015151515151515,0.4251968503937008,0.2466259937141801,0.2666666666666667,0.1818181818181818,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.4393939393939394,0.08333333333333333,0.09448818897637795,0.1160565723793677,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.09090909090909091,0.1345291479820628
1205,sanju-samson,0.3100446107353576,0.6406866156344236,0.7700796695190323,0.1363636363636364,0.2906976744186047,0.3131407269338304,0.1828908554572271,0.001930501930501931,0.04597701149425287,0.622568093385214,0.05,0.3388704318936877,0.1542416452442159,0.05752212389380531,0.1737908084227437,0.09090909090909091,0.07692307692307693,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.1551724137931035,0.1893939393939394,0.2047244094488189,0.2327602144573858,0.0,0.1818181818181818,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.1748878923766816,0.196969696969697,0.2125984251968504,0.1747088186356073,0.2,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.2017937219730942,0.03787878787878788,0.04724409448818898,0.09410242188944352,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.06565656565656566,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.0707070707070707,0.0303030303030303,0.03937007874015748,0.223516361619523,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.06565656565656566,0.08520179372197309
81,rajat-patidar,0.05540365520218737,0.7441428902806773,0.8276777810563589,0.0,0.06976744186046512,0.06057781919850885,0.03048180924287119,0.0,0.0,0.0,0.0,0.04651162790697674,0.102827763496144,0.06342182890855458,0.2096505823627288,0.02272727272727273,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.09827586206896552,0.2348484848484849,0.2519685039370079,0.2361216154893359,0.0,0.1818181818181818,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.2197309417040359,0.007575757575757576,0.01574803149606299,0.08485856905158069,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04035874439461883,0.06060606060606061,0.07086614173228346,0.1680532445923461,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.08585858585858586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04040404040404041,0.2466367713004484
804,deepak-chahar,0.01906749172542812,0.267223382045929,0.737680731779286,0.0,0.01162790697674419,0.01118359739049394,0.01868239921337267,0.2316602316602317,0.2625287356321839,0.5797665369649806,0.305,0.05647840531561462,0.0,0.004424778761061947,0.001663893510815308,0.0,0.0,0.4,0.1105769230769231,0.2563667232597623,0.1652892561983471,0.09090909090909091,0.0,0.3689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118279569892473,0.0,0.0,0.0,0.02690582959641256,0.0,0.0,0.0,0.0,0.0,0.4,0.275,0.4475806451612903,0.1131889763779527,0.0,0.0,0.2959641255605381,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.0,0.0,0.3145161290322581,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.4,0.1666666666666667,0.3951612903225806,0.06496062992125984,0.0,0.0,0.4242424242424243,0.0,0.0,0.0,0.0,0.0,0.4,0.1666666666666667,0.3951612903225806,0.06496062992125984,0.2,0.0,0.4242424242424243,0.03587443946188341
1770,virat-kohli,0.7144193409123615,0.9675249362096962,0.7904986721746828,0.2272727272727273,0.8372093023255814,0.8191985088536813,0.3097345132743363,0.01544401544401544,0.9496551724137932,0.6793774319066148,0.9450000000000001,0.4418604651162791,0.2339331619537275,0.08495575221238938,0.2928452579034942,0.1590909090909091,0.1923076923076923,0.0,0.0,0.0,0.0,0.4545454545454545,0.0,0.2689655172413793,0.1060606060606061,0.1181102362204724,0.1808524254447715,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.4,0.0,0.1704035874439462,0.1212121212121212,0.1338582677165354,0.3819824102685999,0.1333333333333333,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.1614349775784753,0.1893939393939394,0.2047244094488189,0.595911575944854,0.06666666666666667,0.2727272727272727,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.202020202020202,0.1742424242424243,0.1889763779527559,0.2267788979152393,0.1333333333333333,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.2272727272727273,0.09848484848484848,0.1102362204724409,0.2720465890183028,0.1333333333333333,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.1565656565656566,0.04035874439461883
2108,nicholas-pooran,0.2283062311123903,0.55741127348643,0.8472705812924166,0.04545454545454546,0.186046511627907,0.1938490214352283,0.2143559488692232,0.0,0.0,0.0,0.0,0.3421926910299004,0.1619537275064267,0.09734513274336283,0.2200499168053245,0.04545454545454546,0.1923076923076923,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.1879310344827586,0.3484848484848485,0.3700787401574803,0.275017827430473,0.06666666666666667,0.4545454545454545,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.3273542600896861,0.03787878787878788,0.04724409448818898,0.1403216860787576,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.09417040358744394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04040404040404041,0.09090909090909091,0.1023622047244094,0.1442833372949845,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04040404040404041,0.1838565022421525
3426,shikhar-dhawan,0.6103036408116276,0.7594525632103921,0.739923281203895,0.09090909090909091,0.7325581395348837,0.8928238583410997,0.1878072763028515,0.007722007722007722,0.1896551724137931,0.642023346303502,0.2,0.3853820598006645,0.07455012853470437,0.03008849557522124,0.1872520158709842,0.1136363636363636,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.0,0.1344827586206896,0.04545454545454546,0.05511811023622047,0.2512479201331115,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.4,0.0,0.1390134529147982,0.08333333333333333,0.09448818897637795,0.2304492512479201,0.1333333333333333,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.09417040358744394,0.03787878787878788,0.04724409448818898,0.1403216860787576,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.4,0.0,0.1515151515151515,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.0707070707070707,0.05303030303030303,0.06299212598425197,0.1680532445923461,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.08080808080808081,0.2556053811659193
2504,kuldeep-yadav,0.008994099870484962,0.2899559266991417,0.5344939510179995,0.0,0.0,0.01118359739049394,0.0,0.2316602316602317,0.2496551724137931,0.5867704280155642,0.2866666666666667,0.07973421926910298,0.02570694087403599,0.04867256637168142,0.2789794786466999,0.02272727272727273,0.0,0.2,0.25,0.2790322580645161,0.3388429752066116,0.1818181818181818,0.0,0.1931034482758621,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.0,0.0,0.3145161290322581,0.0,0.0,0.0,0.06278026905829596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3145161290322581,0.0,0.0,0.0,0.03587443946188341,0.0,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.5725806451612904,0.3976377952755906,0.2,0.0,0.2070707070707071,0.07575757575757576,0.0,0.3344425956738769,0.06666666666666667,0.0,0.4,0.3583333333333333,0.4879032258064516,0.1309055118110236,0.0,0.0,0.3383838383838384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3145161290322581,0.0,0.2,0.0,0.08080808080808081,0.08071748878923767
3624,manish-pandey,0.4276874370413009,0.7492461145905822,0.7362643847742698,0.1363636363636364,0.3720930232558139,0.4603914259086673,0.1799410029498525,0.0193050193050193,0.2436781609195402,0.5891050583657588,0.28,0.4285714285714285,0.2262210796915167,0.1017699115044248,0.1995323110131762,0.1590909090909091,0.03846153846153846,0.0,0.0,0.0,0.0,0.2727272727272727,0.25,0.2362068965517241,0.1212121212121212,0.1338582677165354,0.2436847678112238,0.2,0.0,0.0,0.0,0.2903225806451613,0.0,0.2,0.0,0.1659192825112108,0.0,0.007874015748031496,0.001663893510815308,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.5,0.05381165919282511,0.4318181818181818,0.0,0.2274780128357499,0.2,0.09090909090909091,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.404040404040404,0.0303030303030303,0.03937007874015748,0.06216911208591742,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.4,0.0,0.1111111111111111,0.08333333333333333,0.09448818897637795,0.2304492512479201,0.06666666666666667,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.101010101010101,0.4080717488789238
4467,sachin-baby,0.1078572456468557,0.6207376478775226,0.7948067276482739,0.0,0.08139534883720931,0.119291705498602,0.04523107177974434,0.01351351351351351,0.374367816091954,0.6046692607003891,0.4183333333333333,0.1029900332225914,0.002570694087403599,0.008849557522123894,0.05712701053799224,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.03965517241379311,0.007575757575757576,0.01574803149606299,0.05712701053799224,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.4,0.0,0.1121076233183857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.03587443946188341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.04040404040404041,0.04484304932735426
