Unnamed: 0,Player-name,Average Points,Average Batting-Runs,Average wicket per match,Average sr,Average bowl econ,Matches played
9,vijay-shankar,-0.2026606419117724,0.1926942277468738,-0.4880490231900285,0.478464129323771,-0.2150205874755898,0.7263303925784412
13,kagiso-rabada,1.703311476989117,-0.8170339712730426,2.614993983131729,-0.07045190258737476,0.9035801456520881,0.5075561779463806
1,devdutt-padikkal,0.9973520478866634,1.514203441927909,-0.8962568197435858,0.3240495295062639,-1.176306935981235,-0.3675406805818617
22,krishnappa-gowtham,-0.1949173941041094,-0.4326687944684228,0.2338740244185777,1.163358993741964,1.079019075980931,-0.2362761518026254
5,rohit-sharma,0.1657125625444612,0.9395304480672603,-0.8962568197435858,0.05369720754066398,-1.141713712697752,1.557672408180272
2,jayant-yadav,-1.433392029088393,-0.8529979644243519,-0.2007916848745621,0.02071043383146685,0.6255942740991001,-0.8925987956988072
12,shreyas-iyer,0.6464265314802551,1.346851289068029,-0.8962568197435858,0.3271103867101642,-1.176306935981235,1.251388507695387
15,harbhajan-singh,-0.3309933805316996,-0.9533185768990573,0.8058025892779723,-0.2119988670949966,0.719649516904054,0.3762916491671443
3,harpreet-brar,0.7053820182365315,-0.2667848760580079,0.7728595039420713,1.650797287633611,0.8888700571279384,-1.067618167404456
4,krunal-pandya,0.3728641402816231,-0.001713899263243026,0.463061398409506,0.5488872394492671,0.6527485954958093,1.601427251106684
20,ravichandran-ashwin,-0.1810997018956071,-0.7428582353984668,0.7989394464996595,0.127612326457744,0.765053543921024,0.8138400784312655
17,rajat-patidar,-0.5695303828679504,0.3765210514360399,-0.8962568197435858,-0.1255036888563936,-1.176306935981235,-1.111373010330868
21,basil-thampi,-0.4074027942881897,-0.9303205496996673,0.8771792741724247,-0.7448995673145911,1.217784345953032,-0.4112955235082739
18,vishnu-vinod,-1.932876014106848,-0.5473040226382216,-0.8962568197435858,-0.3211279608186308,-1.176306935981235,-1.15512785325728
24,josh-philippe,-0.7685051506703839,0.2025452345665804,-0.8962568197435858,-0.7682226009138962,-1.176306935981235,-1.067618167404456
7,kl-rahul,2.5474401860704,2.660830958267362,-0.8962568197435858,0.653544738995166,-1.176306935981235,0.8575949213576777
10,jagadeesha-suchith,-0.2624705560123429,-0.5203310277747395,0.4946734499944616,0.8058552213529909,1.093072572939846,-1.15512785325728
14,liam-livingstone,-0.05366987375052989,0.3562913052884283,-0.8962568197435858,0.4233644532685746,-0.3643271116883713,-1.111373010330868
19,kieron-pollard,0.0557379045567909,0.4751799672636224,-0.6715680838628244,0.9745888629483132,-0.5623540965289315,1.557672408180272
6,shahbaz-nadeem,-0.654439100207153,-1.007017674224525,0.6458615227920754,-1.414139119499048,1.083115183790212,-0.2800309947290375
