player-name,season,match,batting-runs,balls,out,4s,6s,sr,overs,maiden,bowling-runs,wickets,econ,0s,4s,6s,catches,run-out,stumping
ravindra-jadeja,2021,27,22,22,0,2,0,100.0,3.0,0,29,1,9.66,5,0,3,0,0,0
hardik-pandya,2021,27,16,7,1,0,2,228.57,0,0,0,0,0,0,0,0,0,0,0
suryakumar-yadav,2021,27,3,3,1,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0
rahul-chahar,0,0,0,0,0,0,0,0,4.0,0,32,0,8.0,8,0,3,1,0,0
jasprit-bumrah,0,0,0,0,0,0,0,0,4.0,0,56,1,14.0,5,4,4,1,0,0
krunal-pandya,2021,27,32,23,1,2,2,139.13,0,0,0,0,0,0,0,0,0,0,0
dhawal-kulkarni,2021,27,0,0,0,0,0,0.0,4.0,0,48,0,12.0,7,3,4,0,0,0
trent-boult,0,0,0,0,0,0,0,0,4.0,0,42,1,10.5,10,4,3,0,0,0
quinton-de-kock,2021,27,38,28,1,4,1,135.71,0,0,0,0,0,0,0,0,2,0,0
kieron-pollard,2021,27,87,34,0,6,8,255.88,2.0,0,12,2,6.0,4,1,0,0,0,0
rohit-sharma,2021,27,35,24,1,4,1,145.83,0,0,0,0,0,0,0,0,0,0,0
james-neesham,2021,27,0,1,1,0,0,0.0,2.0,0,26,0,13.0,3,2,2,0,0,0
harpreet-brar,2021,26,25,17,0,1,2,147.05,4.0,1,19,3,4.75,15,1,1,1,0,0
prabhsimran-singh,2021,26,7,7,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0
ravi-bishnoi,0,0,0,0,0,0,0,0,4.0,0,17,2,4.25,10,0,0,1,0,0
nicholas-pooran,2021,26,0,3,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
riley-meredith,0,0,0,0,0,0,0,0,3.2,0,29,1,8.69,7,2,2,0,0,0
chris-jordan,0,0,0,0,0,0,0,0,4.0,0,31,1,7.75,9,3,1,0,0,0
mohammed-shami,0,0,0,0,0,0,0,0,3.4,0,28,1,7.63,9,3,1,0,0,0
chris-gayle,2021,26,46,24,1,6,2,191.66,0,0,0,0,0,0,0,0,0,0,0
shahrukh-khan,2021,26,0,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
kl-rahul,2021,26,91,57,0,7,5,159.64,0,0,0,0,0,0,0,0,1,0,0
deepak-hooda,2021,26,5,9,1,0,0,55.55,1.0,0,13,0,13.0,1,1,1,0,0,0
devdutt-padikkal,2021,26,7,6,1,0,1,116.66,0,0,0,0,0,0,0,0,0,0,0
