player-name,all-time-runs-scored,all-time-average,all-time-strike-rate,all-time-100s,all-time-50s,all-time-4s,all-time-6s,all-time-wkts,all-time-ave,all-time-econ,all-time-sr,all-time-catches,ipl-last-5-runs-scored,ipl-last-5-average,ipl-last-5-strike-rate,ipl-last-5-4s,ipl-last-5-6s,ipl-last-5-wkts,ipl-last-5-ave,ipl-last-5-econ,ipl-last-5-sr,ipl-last-5-catches,ipl-last-5-run-outs,ipl-last-5-points,ipl-1-runs-scored,ipl-1-average,ipl-1-strike-rate,ipl-1-4s,ipl-1-6s,ipl-1-wkts,ipl-1-ave,ipl-1-econ,ipl-1-sr,ipl-1-catches,ipl-1-run-outs,ipl-1-points,ipl-2-runs-scored,ipl-2-average,ipl-2-strike-rate,ipl-2-4s,ipl-2-6s,ipl-2-wkts,ipl-2-ave,ipl-2-econ,ipl-2-sr,ipl-2-catches,ipl-2-run-outs,ipl-2-points,ipl-3-runs-scored,ipl-3-average,ipl-3-strike-rate,ipl-3-4s,ipl-3-6s,ipl-3-wkts,ipl-3-ave,ipl-3-econ,ipl-3-sr,ipl-3-catches,ipl-3-run-outs,ipl-3-points,ipl-4-runs-scored,ipl-4-average,ipl-4-strike-rate,ipl-4-4s,ipl-4-6s,ipl-4-wkts,ipl-4-ave,ipl-4-econ,ipl-4-sr,ipl-4-catches,ipl-4-run-outs,ipl-4-points,ipl-5-runs-scored,ipl-5-average,ipl-5-strike-rate,ipl-5-4s,ipl-5-6s,ipl-5-wkts,ipl-5-ave,ipl-5-econ,ipl-5-sr,ipl-5-catches,ipl-5-run-outs,ipl-5-points,points
nitish-rana,2846.0,27.63,136.36,0.0,21.0,253.0,148.0,28.0,21.17,6.96,18.2,29.0,197.0,39.4,144.85294117647058,26.0,6.0,0.0,-1.0,16.0,-1.0,1.0,0.0,263.0,87.0,87.0,142.62295081967213,10.0,4.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,81.0,81.0,152.83018867924528,13.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,29.0,29.0,145.0,3.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,44.0,-2
dinesh-karthik,6183.0,27.48,133.45,0.0,30.0,607.0,190.0,1.0,10.0,5.0,12.0,252.0,57.0,19.0,123.91304347826087,5.0,2.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,78.0,21.0,-1.0,210.0,3.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,3.0,3.0,50.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.0,4.0,4.0,28.571428571428573,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,6.0,29.0,-1.0,207.14285714285714,2.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,41.0,34
sunil-narine,2516.0,14.88,146.1,0.0,9.0,248.0,146.0,393.0,20.92,6.07,20.6,77.0,94.0,23.5,180.76923076923077,8.0,6.0,3.0,48.666666666666664,7.3,40.0,1.0,0.0,233.0,7.0,7.0,100.0,0.0,1.0,0.0,-1.0,-0.25,-1.0,1.0,0.0,21.0,6.0,6.0,150.0,1.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,9.0,64.0,64.0,200.0,6.0,4.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,92.0,0.0,-1.0,-1.0,0.0,0.0,2.0,14.0,3.5,11.5,0.0,0.0,58.0,17.0,17.0,188.88888888888889,1.0,1.0,1.0,31.0,7.75,49.5,0.0,0.0,53.0,-2
andre-russell,6036.0,26.82,169.45,2.0,23.0,416.0,473.0,315.0,25.56,8.35,18.3,160.0,44.0,8.8,118.91891891891892,5.0,2.0,2.0,56.5,11.3,30.0,1.0,0.0,111.0,9.0,9.0,81.81818181818181,1.0,0.0,0.0,-1.0,-0.5,-1.0,1.0,0.0,12.0,12.0,12.0,133.33333333333334,1.0,1.0,0.0,-1.0,-0.5,-1.0,0.0,0.0,15.0,16.0,16.0,160.0,2.0,1.0,1.0,51.0,12.75,79.5,0.0,0.0,51.0,5.0,5.0,166.66666666666666,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,6.0,2.0,2.0,50.0,0.0,0.0,1.0,18.0,9.0,54.0,0.0,0.0,27.0,38
shivam-mavi,29.0,4.14,70.73,0.0,0.0,3.0,0.0,16.0,39.62,8.68,27.3,8.0,1.0,1.0,25.0,0.0,0.0,5.0,30.0,9.375,19.2,2.0,0.0,132.0,0.0,-1.0,-1.0,0.0,0.0,1.0,34.0,11.333333333333334,69.33333333333334,0.0,0.0,21.0,0.0,-1.0,-1.0,0.0,0.0,1.0,24.0,8.0,48.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,10.666666666666666,66.66666666666666,0.0,0.0,21.0,1.0,-1.0,33.333333333333336,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,1.0,0.0,3.0,0.0,-1.0,-1.0,0.0,0.0,2.0,10.0,2.5,8.5,1.0,0.0,62.0,84
pat-cummins,562.0,17.56,132.23,0.0,2.0,33.0,31.0,118.0,25.55,7.83,19.5,24.0,5.0,2.5,20.0,0.0,0.0,6.0,20.833333333333332,6.578947368421052,19.0,0.0,1.0,203.0,0.0,-1.0,-1.0,0.0,0.0,2.0,15.5,3.875,13.375,0.0,0.0,58.0,1.0,1.0,12.5,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,3.0,5.666666666666667,1.4166666666666667,3.3888888888888893,0.0,0.0,101.0,4.0,4.0,23.529411764705884,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,1.0,18.0,0.0,-1.0,-1.0,0.0,0.0,1.0,28.0,7.0,42.0,0.0,0.0,25.0,141
shubman-gill,1349.0,31.37,127.14,0.0,9.0,129.0,41.0,0.0,0.0,0.0,0.0,23.0,129.0,25.8,114.15929203539822,14.0,4.0,0.0,-1.0,-1.0,-1.0,3.0,0.0,191.0,26.0,26.0,152.94117647058823,4.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,34.0,57.0,57.0,126.66666666666667,3.0,4.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,76.0,9.0,9.0,112.5,2.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,19.0,1.0,1.0,16.666666666666668,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,36.0,36.0,97.29729729729729,5.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,61.0,48
varun-chakravarthy,12.0,4.0,63.15,0.0,0.0,0.0,0.0,25.0,24.4,7.34,19.9,3.0,2.0,2.0,50.0,0.0,0.0,9.0,14.88888888888889,6.7,13.333333333333334,0.0,0.0,275.0,0.0,-1.0,-1.0,0.0,0.0,2.0,10.0,2.5,8.5,0.0,0.0,62.0,2.0,2.0,50.0,0.0,0.0,1.0,34.0,8.5,53.0,0.0,0.0,35.0,0.0,-1.0,-1.0,0.0,0.0,5.0,4.0,1.0,1.2,0.0,0.0,153.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,32.0,8.0,48.0,0.0,0.0,25.0,54
kamlesh-nagarkoti,22.0,5.5,66.66,0.0,0.0,1.0,0.0,5.0,51.2,9.14,33.6,4.0,10.0,5.0,50.0,0.0,0.0,0.0,-1.0,10.083333333333334,-1.0,1.0,0.0,12.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,-4.0,6.0,6.0,46.15384615384615,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,6.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,1.0,0.0,12.0,4.0,4.0,57.142857142857146,0.0,0.0,0.0,-1.0,-0.25,-1.0,0.0,0.0,4.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.3333333333333333,-1.0,0.0,0.0,-6.0,36
eoin-morgan,7004.0,27.14,132.5,0.0,37.0,538.0,324.0,0.0,0.0,0.0,0.0,142.0,136.0,27.2,132.03883495145632,15.0,5.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,187.0,15.0,15.0,125.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,17.0,40.0,40.0,160.0,5.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,57.0,17.0,17.0,188.88888888888889,2.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,29.0,30.0,30.0,88.23529411764706,3.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,39.0,34.0,34.0,147.82608695652175,3.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,45.0,99
