sr.no,player,matches,innings,not-outs,Runs scored,Highest Score,Average,BF,Strike-rate,100s,50s,4s,6s
79,davidhussey,64,61,12,1322,71,26.97,"1,075",122.97,0,5,90,60
80,evinlewis,16,16,0,430,65,26.87,328,131.09,0,2,36,26
81,tillakaratnedilshan,52,50,7,1153,76*,26.81,"1,007",114.49,0,9,140,24
82,ravindrajadeja,191,145,59,2290,62*,26.62,"1,788",128.07,0,2,168,82
83,rahultewatia,41,28,11,452,53,26.58,339,133.33,0,1,30,24
84,cameronwhite,47,45,9,954,78,26.50,755,126.35,0,6,76,36
85,vijayshankar,47,39,12,712,63*,26.37,564,126.24,0,3,45,28
86,dineshkarthik,203,184,33,3946,97*,26.13,"3,038",129.88,0,19,390,109
87,jameshopes,21,19,3,417,71,26.06,306,136.27,0,4,49,11
88,kumarsangakkara,71,68,3,1687,94,25.95,"1,392",121.19,0,10,195,27
89,sarfarazkhan,38,26,9,441,67,25.94,315,140.00,0,1,50,11
90,muralivijay,106,106,5,2619,127,25.93,"2,149",121.87,2,13,247,91
91,aaronfinch,87,85,7,2005,88*,25.70,"1,570",127.70,0,14,204,75
92,shimronhetmyer,23,22,8,359,75,25.64,239,150.20,0,2,20,25
93,kamranakmal,6,6,1,128,53*,25.60,78,164.10,0,1,13,8
94,benstokes,43,42,6,920,107*,25.55,684,134.50,2,2,79,32
95,rahultripathi,52,51,5,1175,93,25.54,871,134.90,0,6,116,41
96,souravganguly,59,56,3,1349,91,25.45,"1,263",106.80,0,7,137,42
97,rosstaylor,55,54,14,1017,81*,25.42,822,123.72,0,3,66,46
98,tomcurran,12,9,4,127,54*,25.40,106,119.81,0,1,10,3
99,wriddhimansaha,126,101,22,1987,115*,25.15,"1,514",131.24,1,8,184,65
100,biplapsamantray,9,8,3,125,55,25.00,113,110.61,0,1,13,2
