,points
700,11
1833,22
1471,42
2999,62
894,108
3791,25
1331,36
997,-2
2144,43
112,46
1830,13
2472,80
858,42
4053,31
2077,13
577,36
2069,6
4683,128
762,29
1509,-2
2932,9
696,16
1015,11
4239,12
1657,31
2955,23
2623,-2
4314,24
4863,34
2490,1
874,21
494,-2
1716,25
3703,10
4632,0
2866,100
1940,0
2416,8
1549,90
1653,52
950,86
3383,29
1900,50
2694,36
4219,8
2340,18
1721,68
1379,16
1542,52
1185,-4
2687,57
445,85
3886,90
3133,4
4933,79
2958,48
3549,14
2737,21
4924,-4
4269,29
4871,2
622,33
3089,34
3502,26
1590,41
3766,80
1436,37
2227,8
1304,52
3419,7
3658,31
1823,2
567,36
328,16
4213,36
4203,3
2308,49
230,17
1853,19
2579,54
41,42
2362,3
4845,9
1464,76
3630,28
3033,5
2062,49
905,20
4479,22
1555,63
3800,76
2374,72
2026,16
2386,35
4371,42
4929,25
1404,88
1672,12
809,36
2398,110
3878,0
2230,8
4753,5
4250,54
255,35
2355,50
4042,13
1121,31
1425,38
2198,-2
1150,8
3592,2
3286,-2
4745,16
4163,28
4691,66
2576,23
4196,15
3468,38
1390,-1
3306,142
1911,17
1107,9
990,22
3717,5
2333,103
2138,42
3483,79
2583,29
1234,46
4294,85
1318,45
4726,30
4273,53
116,62
2072,27
3742,16
4838,93
288,33
2631,30
2115,27
4879,36
1960,8
864,16
3290,131
1942,25
1349,6
117,55
4193,5
2795,-3
2286,94
4754,61
379,51
411,14
3820,5
3255,25
3811,64
3851,58
4736,29
4868,110
2004,64
822,27
2978,4
1479,16
122,90
3330,85
3659,29
3034,60
3627,12
884,0
3446,16
3428,12
2237,142
4116,16
559,54
300,33
2918,44
3668,28
3516,33
3458,87
268,20
4393,8
1336,-2
4796,75
3793,72
2251,31
2979,42
1608,21
1044,-2
1268,53
1712,2
2209,19
2099,63
1485,6
3856,69
1625,39
4429,-5
197,60
1818,30
1783,41
4784,9
1770,62
4599,26
3952,46
1295,48
202,1
4528,0
1131,39
4483,30
1647,36
2509,132
4921,85
2820,46
4900,38
3602,0
3167,0
4778,3
3986,18
3823,6
4513,25
4881,1
1182,14
4407,60
4746,26
70,72
2364,21
1785,46
4645,20
3954,39
2405,-4
2599,3
3178,4
1043,0
1981,19
1617,64
3670,32
2442,86
479,37
3110,57
3937,77
3309,14
505,97
616,43
1120,0
3045,58
886,84
316,0
2284,87
2659,83
1391,-6
2249,25
3572,18
669,146
4761,27
2045,73
375,111
4131,30
4779,33
1568,24
4300,25
3491,30
2154,8
260,58
1371,6
333,43
2499,25
1738,8
4192,82
2527,14
4550,29
3439,9
1364,5
1912,84
1729,87
2775,105
1726,35
4398,97
2258,26
709,142
895,58
513,88
4730,7
1521,0
242,35
2163,35
3939,35
4194,33
1491,47
1811,109
4424,190
2968,0
1467,37
3760,68
3266,58
2226,0
2235,-2
2013,7
3847,27
4050,25
3837,25
2515,58
1165,21
589,-4
4040,59
1184,25
3682,15
4442,29
3613,9
4653,0
187,87
75,25
2055,3
1447,21
867,33
3099,33
4298,42
2974,9
2616,25
137,2
2626,34
2913,27
1886,18
