,points
3139,-6
4682,12
2719,84
2103,33
421,1
3944,22
1567,55
2412,85
4095,29
719,87
3085,75
196,87
3964,59
2092,39
4816,103
4563,0
1533,16
1946,25
3301,84
848,25
2008,5
3879,52
3946,43
4212,48
2157,80
3615,68
1104,43
1101,146
860,133
4370,17
164,50
3619,101
76,128
4332,156
964,3
4570,82
4164,6
2923,-5
3144,62
3744,26
1928,66
3762,31
3988,25
3527,89
3577,4
1215,0
2089,8
1191,31
722,23
2957,54
488,25
3196,108
2183,82
3001,39
4121,0
1292,52
3329,44
2360,67
3673,60
3318,61
4598,2
1524,112
4310,10
4030,15
3053,22
3232,41
335,19
3416,99
2191,28
3517,22
1575,-6
4051,87
4338,7
3408,56
2572,17
756,19
2474,83
3387,20
2922,21
1666,42
1163,41
2292,18
517,83
13,89
2890,15
3684,31
2445,6
730,0
847,113
1820,14
4925,0
556,110
4156,1
4360,47
1159,29
3891,37
2262,25
1879,40
1713,0
531,17
816,19
1682,-2
4639,50
536,49
4415,37
1235,32
4769,27
2601,6
4380,27
1311,37
3073,50
1005,47
1866,29
878,34
1727,0
2518,17
1778,47
1622,30
1925,19
707,23
1258,16
2570,0
159,12
4331,73
1298,15
1967,33
3916,66
392,33
2126,22
1303,82
3566,17
1919,76
2577,10
194,11
4201,46
4148,83
1715,25
2747,161
3325,32
1624,1
2954,33
1440,94
460,2
1227,70
2048,25
3877,70
2774,13
1494,66
1242,0
3323,-4
614,70
1192,25
3644,23
3370,5
3888,3
1631,68
777,51
2916,25
711,76
4384,58
4694,54
1801,123
3361,1
341,76
520,33
2853,61
1668,31
3551,34
3317,-4
1562,-3
988,58
1796,7
4422,58
3258,10
2492,153
3376,8
469,63
2804,19
3585,3
1451,21
1411,13
3143,13
3753,2
4589,67
4468,52
1453,20
4129,27
2936,50
4254,5
4003,-2
4945,33
4342,41
1035,68
23,14
2685,73
2560,6
3037,72
1445,1
2959,9
2190,19
2652,33
1097,25
3725,-6
2707,87
4696,34
1910,48
4364,70
29,62
566,87
2639,27
4228,29
2665,83
3985,125
190,68
2219,19
3620,2
344,8
1854,53
3521,-2
1061,4
4532,49
1129,13
3048,14
4394,42
4729,59
219,90
1187,76
4450,39
3982,10
2519,18
3589,78
3818,30
3785,6
1300,33
1351,18
3083,1
430,26
4823,4
1082,6
3634,72
1283,45
1649,2
4620,15
437,60
4747,25
1636,44
1505,13
823,25
3424,55
356,35
4607,89
1412,60
3303,0
1024,25
1457,10
2304,7
2299,27
2044,58
4572,76
2451,48
208,45
4757,29
4047,8
42,46
4111,41
2287,14
3827,27
1614,47
1592,6
1972,3
370,50
2223,108
971,66
1930,33
3821,50
2540,91
3676,40
2674,50
782,57
2898,12
52,2
3412,16
2835,25
3824,10
3456,68
1063,0
3195,5
887,-2
3145,62
2434,1
3461,25
4139,3
3335,109
4649,46
269,31
72,25
2153,49
1558,30
2666,6
3555,55
3587,62
2039,95
1927,27
2693,65
2630,8
1589,37
1634,68
3375,30
4475,2
1765,40
4558,9
4662,89
4034,-4
623,41
2483,2
468,17
3298,50
1001,46
3697,27
746,63
4132,23
2710,115
892,25
2436,1
1162,61
312,95
3698,-6
1233,123
1845,37
4758,25
840,28
2727,1
7,-6
352,32
2622,0
4638,90
612,0
4688,33
2359,74
812,2
2929,8
91,-2
1025,12
862,57
3279,137
3454,33
3134,8
4477,64
2094,79
1939,16
1767,46
562,175
1049,16
1572,30
1755,38
564,71
1856,14
3525,27
2053,20
596,0
708,2
1095,16
131,33
3994,15
363,8
1257,46
2353,2
2815,25
901,46
3313,-2
4614,44
4659,43
3146,30
4860,50
1026,29
2833,19
1221,126
3316,0
3903,5
3356,34
2371,15
3220,84
1071,8
1884,7
4567,101
928,19
3962,54
4495,2
4671,36
907,30
904,13
4693,53
408,23
584,17
4202,2
2925,41
3227,-2
1031,10
4792,42
1433,138
618,15
1550,70
3005,12
749,0
2212,35
1751,25
1612,6
3141,54
3480,7
4251,25
3453,58
4021,55
3510,61
1175,58
667,45
4831,8
16,17
1338,8
963,0
3544,50
1204,11
2551,11
3225,-2
838,14
4527,25
2901,25
4103,4
420,25
2415,12
3640,41
2855,18
2348,8
1673,19
4405,33
528,87
2512,68
466,4
28,173
3594,16
169,77
4149,-2
4617,54
4549,89
1350,34
1373,51
3664,63
4520,45
929,45
2184,91
593,60
4328,0
920,108
1655,35
3467,0
826,62
1977,4
3763,2
2253,35
3191,14
4731,55
502,25
2794,17
3790,13
1665,0
1093,117
4169,33
583,21
302,8
788,2
4897,45
2443,62
2857,27
992,81
965,47
767,-2
2357,41
2892,88
2585,45
1205,55
4667,6
4722,0
4037,33
2338,12
3928,41
4785,29
4084,3
2318,29
3956,58
403,10
4172,15
4713,30
1146,97
754,-2
2888,49
1360,41
1248,55
3730,41
1017,0
1280,47
350,0
3285,37
4381,29
1953,-8
1598,79
857,-2
3188,28
179,15
307,75
2102,31
1400,4
2595,50
2473,0
3693,33
1222,-6
1385,58
3038,3
2427,91
1160,38
3663,10
4312,161
2276,3
1239,19
637,7
2396,-2
1244,14
1141,82
3277,19
4576,73
212,4
1335,-1
4937,1
738,64
4556,18
3360,10
3032,70
4630,20
1042,8
3771,2
3490,112
3795,2
236,4
1034,19
2203,87
3610,6
4397,25
4872,58
1807,4
4329,91
1328,25
2826,2
1384,84
2664,0
1616,60
4751,53
1620,31
1528,35
837,31
1087,13
810,6
2598,6
3202,23
2895,66
1777,24
4358,28
3799,40
1108,16
4195,95
4748,-2
347,66
1547,52
4732,-4
980,47
4946,51
1348,59
142,38
3012,6
3957,60
3716,25
2093,84
1798,25
1313,33
353,2
4891,78
127,-6
3261,19
2949,47
1329,33
2762,14
4,25
4457,49
4014,8
4484,7
4263,58
3914,62
4627,76
2482,41
1752,51
662,100
686,99
1591,35
3904,25
4002,6
2615,28
599,-2
3363,12
120,8
2390,0
1659,81
1570,82
4646,25
417,9
1678,19
405,21
1493,21
923,20
1719,1
51,87
4473,95
2076,12
2858,76
1073,0
4935,0
3606,40
324,92
3056,37
2207,39
2524,7
873,30
2317,22
2813,28
4152,11
1510,0
925,-2
1143,10
4385,48
2334,2
2691,45
4365,33
2123,-2
2942,36
1891,6
440,29
2166,89
2553,1
2592,1
945,0
1733,38
2759,33
2463,19
4511,14
4829,64
4618,33
1868,16
3183,37
4026,111
2772,-2
789,37
3835,29
1810,49
3507,16
2701,6
1944,27
1305,62
1996,27
1520,4
4106,26
3874,39
1224,15
4366,29
636,31
1419,1
960,16
2117,0
2132,77
4926,25
2911,54
2449,70
4830,93
2927,103
4305,-2
581,18
1964,8
4914,25
1544,79
1799,62
4957,39
4573,50
3660,36
3938,23
4844,21
979,37
369,36
113,0
4824,35
624,48
2195,33
910,33
4702,0
4063,39
1512,35
785,28
3307,17
184,27
2969,127
65,23
726,37
1858,21
3311,0
3499,107
4259,39
4836,50
4339,-2
2382,3
2494,79
1904,18
3031,37
3447,37
3690,0
1518,50
1028,60
1806,41
4506,20
2777,9
9,16
4057,0
4178,4
3980,46
3075,83
270,4
3069,16
820,91
1213,77
4490,10
640,18
4582,68
2893,9
110,0
3077,134
3951,69
2067,40
2541,8
3991,46
1392,28
3247,25
2557,22
763,0
3423,32
1882,2
3858,49
561,-4
3251,50
2924,36
1112,25
211,10
3051,66
4413,76
3573,73
1643,41
213,36
2370,6
3780,-6
2414,81
3190,31
2279,65
2511,8
2849,0
4854,8
2584,72
3035,39
3102,7
81,33
1784,46
1007,4
3574,90
3230,12
2786,91
916,25
4414,32
1534,56
2164,16
2920,62
111,31
4482,-4
3498,27
2090,6
1064,9
4428,28
220,31
4478,3
1804,1
3091,61
3828,-2
977,2
3117,25
4668,29
2860,40
1481,12
649,28
4404,45
2206,50
1483,104
304,16
3338,32
168,25
1032,12
2651,10
2176,2
2385,74
2547,27
1951,2
1225,37
2120,8
3942,32
552,27
4352,62
4389,52
953,85
254,29
4322,50
106,66
4841,39
78,30
668,124
548,8
3826,50
4234,35
3522,2
1761,42
210,33
3609,31
734,42
3434,11
2020,-4
1560,40
128,39
2082,25
1611,28
4606,11
2684,-6
2725,64
3449,13
40,28
4870,3
1372,105
3391,37
2806,125
400,19
166,47
4786,7
3934,73
3115,80
60,175
2514,56
723,112
339,14
4554,101
4025,43
1431,2
3245,30
4240,127
2485,62
3036,3
3532,11
3631,42
4223,5
4187,34
3094,0
4395,95
1857,20
2104,48
3892,7
4035,37
4613,61
4783,23
1973,72
2991,30
876,20
1130,18
2186,24
483,-2
890,1
3275,0
1772,-2
602,75
1559,121
2977,10
2135,62
885,33
1038,7
1193,72
2741,0
4136,115
3794,71
4932,11
3047,6
1704,-2
2285,25
2750,57
2562,69
422,58
63,52
2498,13
1495,56
351,16
653,11
4374,33
3240,23
922,56
2714,57
4608,32
4378,23
470,6
2056,33
4724,8
712,44
3599,0
427,95
1197,9
4716,30
2272,32
4167,62
4770,-2
1,137
1287,0
2612,74
678,-2
2000,50
125,20
4231,19
3853,5
4689,22
4165,36
1538,10
3142,51
1762,8
3691,24
2618,60
1326,87
3699,22
1273,31
3998,26
1566,66
2542,41
2241,17
4010,26
3218,6
4440,1
4709,0
4157,5
2455,67
3752,102
133,23
4217,23
3652,22
3101,55
4893,11
1050,0
3852,78
1048,2
1183,39
2783,4
1228,23
4678,72
2569,17
4033,6
1332,59
4719,62
2990,30
2283,0
3219,0
2832,59
3526,44
1251,36
150,25
2495,39
3017,58
2620,86
2238,46
4232,47
3149,72
4013,56
3018,3
1437,13
2368,1
1603,58
3140,10
1056,27
456,46
4799,33
1679,-3
1535,50
2619,17
2217,12
1889,12
3955,47
1860,28
4480,4
318,0
3388,39
1164,25
2365,62
1128,25
3949,10
2034,38
2301,0
2571,50
201,2
2735,87
4948,49
2831,0
305,96
3187,20
1468,106
3422,2
3484,0
2096,102
2063,10
3803,3
3029,66
1370,30
2889,21
2391,44
3554,29
1587,93
1497,85
3257,0
3571,11
100,0
4367,5
2648,27
1127,11
4150,46
3774,41
4390,60
3445,56
3081,58
4587,31
2327,0
463,-2
4497,25
1914,50
2686,81
1111,21
2228,25
1756,17
2081,0
2170,32
4105,47
248,12
714,-2
516,17
675,49
4862,19
2188,24
2323,37
1246,29
2642,44
129,0
3090,72
4707,35
2366,10
1754,2
3260,18
4491,40
1690,0
1652,1
804,86
3958,12
952,23
3413,62
4660,31
2909,40
4225,75
2057,114
2507,40
2049,34
4323,64
4803,39
2497,1
4346,14
4684,61
4507,80
1552,25
3293,112
1936,91
