,points
2226,0
1894,50
4633,19
3870,12
2577,10
4241,58
2817,13
2415,12
1003,24
3070,6
2542,41
4781,57
4068,4
2914,57
2527,14
648,83
481,9
318,0
3398,82
3217,39
696,16
2439,0
4756,95
816,19
1278,110
2829,8
1096,20
4184,2
850,22
4933,79
1878,56
3227,-2
2270,41
4862,19
2220,72
1512,35
4235,47
2087,79
1498,20
3305,5
3334,66
927,29
4057,0
3548,-4
4870,3
1214,41
718,-2
2660,12
2752,-2
4773,33
309,16
303,8
3244,2
4142,93
3970,58
4466,2
1077,13
1511,0
1468,106
186,35
752,33
4373,46
3654,-2
1765,40
1242,0
3023,63
1814,0
4170,79
1293,17
3457,45
1216,50
2039,95
2139,56
3761,66
2566,62
2805,25
1039,0
3708,97
1332,59
3919,50
1109,37
4180,39
1370,30
2300,24
3430,33
448,103
3381,40
1849,1
1588,0
2420,4
189,22
4793,93
3923,62
4947,109
2691,45
2878,8
2798,21
4387,-6
454,8
1358,0
4849,1
2297,99
235,33
4125,17
1306,33
1961,8
1210,68
3313,-2
2950,22
1866,29
2985,6
3960,21
878,34
2820,46
4412,35
4470,28
792,0
1890,1
4927,0
355,-2
2627,112
2374,72
4553,31
1614,47
140,8
1166,25
2492,153
4164,6
1264,66
280,37
3250,84
3257,0
3015,21
255,35
1298,15
1329,33
3726,131
2892,88
3283,126
1867,79
237,27
2241,17
2780,30
4131,30
4542,18
24,21
311,90
1519,33
4778,3
3446,16
4467,100
4657,87
2471,66
1672,12
1135,35
100,0
118,45
4481,30
2778,33
3230,12
2308,49
1325,0
2696,60
1694,0
1956,65
4110,4
4801,36
2626,34
1291,68
2122,38
3951,69
4416,41
1312,72
3665,71
4665,1
1152,20
2942,36
1937,8
1327,18
2564,-2
4536,29
1007,4
4346,14
3849,84
2162,76
3714,110
4283,12
2578,86
130,51
4486,82
2902,28
4067,101
3282,30
1750,66
4724,8
1340,33
1067,40
4807,58
4901,40
1252,25
1710,125
2746,35
3089,34
1272,48
3658,31
4072,12
3133,4
2600,-2
3683,58
4301,8
2810,64
351,16
940,35
2652,33
695,58
3715,28
1569,73
1091,38
568,15
3252,2
4588,99
4898,21
4009,25
1239,19
3857,2
2638,27
3150,26
1830,13
197,60
866,0
2826,2
2178,2
2444,0
3832,6
2505,-6
3906,72
1087,13
2978,4
4016,85
4831,8
286,0
4364,70
93,8
2234,22
1048,2
3886,90
2436,1
4051,87
1642,50
2028,92
3710,12
768,34
2858,76
713,79
941,54
1833,22
2811,26
2305,67
1688,-2
220,31
3933,49
3229,5
4274,2
2477,39
664,-2
4520,45
4790,4
3580,0
2329,8
4699,38
1972,3
3990,2
4574,12
2075,25
3593,50
3541,50
2503,10
4316,157
4818,66
313,49
1506,7
2090,6
3802,24
2402,23
2312,-4
3657,43
2105,26
650,45
3026,2
4850,124
2012,91
382,21
4265,15
858,42
1212,25
1538,10
2787,25
3945,135
873,30
865,0
155,3
3642,4
1935,51
2541,8
1599,36
1850,14
4077,28
3915,63
4743,118
1800,5
1679,-3
2233,54
320,11
2834,87
3138,78
3485,16
4709,0
4718,43
1162,61
2321,56
520,33
2543,0
412,23
4327,50
2607,35
2215,2
1544,79
2760,48
2001,23
1537,50
4116,16
3412,16
588,3
300,33
2015,52
3333,80
2190,19
3175,40
347,66
3074,23
1016,80
1236,8
3897,64
3788,7
2031,-2
10,25
3828,-2
3218,6
2721,29
1148,4
4361,31
4727,12
331,32
720,3
2664,0
936,-2
3805,58
4451,39
4813,108
4541,15
668,124
1009,8
3053,22
491,80
2590,0
3328,69
1081,0
660,8
935,-2
4103,4
2342,126
2744,21
2281,45
3519,28
722,23
4017,29
2967,52
1657,31
238,9
1524,112
292,8
2079,0
590,21
4217,23
2673,111
817,11
3935,60
2191,28
1098,32
4715,1
2357,41
4767,41
1654,85
4857,27
3797,53
3695,25
4887,68
4218,100
228,25
3861,48
2083,0
2659,83
548,8
2185,11
617,22
310,120
642,0
1868,16
1072,-4
3877,70
4823,4
3066,81
4548,52
3677,32
1804,1
4700,91
2100,25
2598,6
790,6
2277,19
1204,11
4198,33
1181,20
2248,106
1998,119
2683,45
1576,35
2823,2
455,28
370,50
4911,17
3386,21
3189,130
150,25
363,8
1969,-2
2462,23
1365,49
2309,85
1449,27
20,0
1050,0
2434,1
1965,73
2830,25
4890,98
