,points
3139,-6
2998,-6
1595,0
1208,27
2390,0
2885,25
2452,0
3615,68
3840,87
2257,39
2984,92
2008,5
2684,-6
4579,39
2853,61
206,6
389,79
374,28
999,25
2836,142
4946,51
74,66
372,27
838,14
1705,28
2411,41
411,14
2091,8
4236,44
4010,26
2466,0
1164,25
2059,31
2114,48
4723,72
608,0
2522,69
1559,121
4929,25
1235,32
4521,-6
1958,79
4440,1
2822,7
641,10
1122,43
3626,21
3675,31
1693,160
536,49
2888,49
2484,33
241,11
1422,27
4498,1
4406,30
4038,40
2208,34
1381,7
2801,89
3596,91
820,91
119,50
3550,41
1176,31
2147,5
1763,182
312,95
1794,7
3265,23
2111,103
3655,90
3752,102
1094,64
2678,11
4119,35
3758,91
2556,9
3441,8
2179,90
3941,99
4632,0
3818,30
4356,31
1875,23
2518,17
3744,26
1273,31
4708,47
950,86
839,2
1406,42
2102,31
200,33
1028,60
818,40
3473,16
2020,-4
528,87
1324,0
550,87
3682,15
1613,96
381,57
1261,35
352,32
4128,1
1286,2
1200,37
1977,4
2989,28
2388,13
1592,6
2071,41
194,11
997,-2
3170,56
4160,88
3554,29
1905,67
19,87
2237,142
153,0
2219,19
2927,103
40,28
824,39
1886,18
1581,6
3523,8
4047,8
1317,1
4111,41
2187,55
971,66
3633,4
3041,68
1584,89
3198,58
441,49
2278,12
3608,35
4805,36
2881,121
783,37
2689,25
1526,0
1015,11
915,101
2759,33
933,11
1891,6
937,9
3484,0
3893,37
3312,3
474,34
2883,12
3637,21
138,72
1591,35
3117,25
3967,29
1673,19
1229,8
4074,60
3773,91
622,33
3661,54
989,99
3980,46
4932,11
819,18
250,58
3536,120
4704,19
2093,84
4109,0
4157,5
1540,8
4329,91
2495,39
2785,145
1154,36
4062,13
509,70
4034,-4
2844,8
2242,70
604,30
507,60
3539,10
349,100
731,3
1523,8
4943,86
2932,9
1739,76
2440,15
1915,45
4910,29
1488,61
2917,5
416,46
1909,-1
1529,101
797,27
1967,33
2337,0
4343,100
4493,86
315,33
3330,85
199,39
1748,29
4106,26
4789,42
3503,9
1066,25
4499,47
1896,40
1179,44
2326,6
488,25
2279,65
4855,0
1141,82
2962,28
360,5
2408,-2
4611,25
867,33
2842,38
3071,27
3738,20
2160,0
2703,17
4524,120
732,-6
2923,-5
3323,-4
4083,-2
4244,71
3932,65
4263,58
2038,38
2446,13
4471,85
2520,31
3900,89
77,9
3416,99
4740,90
570,30
4661,8
798,42
4413,76
3680,58
4445,35
1010,50
357,32
1400,4
771,84
3624,14
3774,41
2303,-2
26,28
751,53
3698,-6
2940,54
526,64
3405,16
1954,38
2513,8
770,38
2736,6
3146,30
3590,40
3636,100
70,72
4033,6
4494,20
1450,34
1021,101
693,16
553,7
3091,61
3667,34
4002,6
534,0
1929,6
4338,7
844,0
896,15
3109,55
2723,6
2551,11
2939,32
697,4
868,60
3894,3
429,25
3341,22
3458,87
1882,2
260,58
2738,1
4635,33
264,42
2699,50
2243,19
307,75
880,-6
2671,90
419,12
3360,10
3356,34
4030,15
1102,41
2705,18
1030,6
121,23
3134,8
3460,72
4065,29
4141,14
2645,16
1570,82
1014,3
3754,28
2500,18
2525,51
3957,60
4165,36
4868,110
1111,21
317,37
4345,-4
4759,59
898,18
4792,42
4620,15
4679,14
4216,25
2912,6
457,51
3126,73
1824,28
3141,54
2117,0
1258,16
1196,147
215,6
1117,74
3994,15
4172,15
2572,17
750,48
428,64
2862,83
4631,2
4425,-2
3125,146
472,14
4674,13
3114,57
1845,37
3835,29
4645,20
2412,85
3566,17
566,87
4753,5
4439,31
3171,25
149,82
1055,52
3319,131
4168,69
4863,34
3940,14
4591,-2
3470,23
3969,0
305,96
2232,0
4710,41
4569,22
973,165
539,39
1819,69
4681,38
1508,31
4135,30
3691,24
4152,11
1202,26
2693,65
1023,153
283,64
1156,50
756,19
683,61
2990,30
4256,87
403,10
1175,58
3844,41
2109,5
3887,2
3025,70
1821,13
4360,47
689,6
4384,58
1746,11
3184,60
3717,5
2728,26
994,52
1243,29
2472,80
4105,47
4243,0
2843,10
58,47
3692,58
4166,31
2782,28
4436,89
667,45
125,20
4517,0
1161,102
4803,39
1675,31
4648,6
1458,58
2859,60
1427,113
993,37
3959,15
1589,37
1334,73
542,16
2373,4
2952,8
3239,52
2593,98
3194,5
2121,80
1769,1
519,27
591,76
3284,14
1290,79
3065,-2
1276,32
758,87
2345,45
1171,45
3236,127
1413,97
1485,6
1550,70
511,21
4434,48
782,57
177,40
3167,0
4581,9
3768,63
2921,107
4006,5
1971,128
154,20
1547,52
1177,2
1848,4
3813,121
4126,28
1140,-2
2567,31
4348,-6
2980,7
1262,96
39,36
1497,85
1446,9
1831,49
2280,50
3471,62
4563,0
4129,27
1678,19
3611,1
1234,46
4381,29
1132,0
2042,20
2694,36
1215,0
3837,25
2954,33
2708,41
1701,94
601,25
4100,10
4739,18
2563,6
99,113
2869,11
227,0
2127,20
4559,6
4326,5
4317,9
742,115
4783,23
1919,76
4895,2
2840,-6
410,0
3847,27
2608,0
700,11
2794,17
293,25
2597,0
3670,32
1444,13
17,25
3648,27
3776,56
1165,21
1835,-2
1217,90
262,132
2612,74
4537,34
4299,98
2339,19
1182,14
1785,46
4625,11
949,79
4086,68
2033,58
1220,8
853,23
209,5
3448,49
2906,37
2086,8
954,68
812,2
2568,99
4123,25
2734,113
5,-2
2135,62
2080,-2
304,16
1653,52
1471,42
2900,16
1860,28
1038,7
957,46
1984,34
4497,25
4383,2
4651,-2
533,126
2296,6
1071,8
4697,7
4093,4
3110,57
1970,18
4207,-2
4337,67
3056,37
3187,20
1869,102
3469,21
4391,32
1223,13
3570,88
1917,37
2930,54
446,31
4810,43
1557,19
1822,41
4331,73
3999,58
3464,25
791,87
4352,62
86,67
4411,26
4029,6
3589,78
559,54
4522,54
1911,17
3942,32
1660,8
1440,94
800,0
3779,42
2425,19
1617,64
478,61
2549,67
3278,91
202,1
2314,87
3093,15
13,89
4477,64
3600,10
500,10
1409,54
3099,33
3022,65
882,17
2632,29
584,17
3421,19
50,82
724,15
2713,10
460,2
4248,63
1110,0
2035,69
4196,15
3213,7
158,41
4118,93
365,126
3318,61
4627,76
2870,8
159,12
602,75
4912,17
37,-2
530,54
1284,50
2775,105
3778,22
1631,68
3063,65
1788,56
2877,33
257,16
852,-4
456,46
4883,54
2128,-2
3407,57
2624,9
4682,12
1158,0
152,18
2653,0
4476,-2
772,141
2470,19
1366,74
3910,4
4488,6
2761,70
4919,33
1553,-6
3748,0
1630,18
913,21
1902,58
3465,53
2445,6
1696,33
4161,49
1221,126
4931,129
3653,31
2306,54
380,67
918,8
2709,14
483,-2
2628,56
2262,25
3879,52
2062,49
1551,44
3019,-6
1271,68
4012,0
1452,22
1625,39
3411,0
3882,62
1514,12
2112,102
477,0
3834,7
3884,3
961,-4
4865,13
1932,11
527,84
1342,48
1084,18
4465,69
4027,25
2203,87
1470,67
1732,55
3059,45
440,29
2526,19
1466,79
4953,85
1068,-6
563,4
2418,8
3811,64
1720,0
4490,10
4076,21
1533,16
3576,8
603,56
1350,34
3968,0
248,12
1637,36
984,1
2789,8
141,78
990,22
22,91
3069,16
3444,27
2217,12
2643,17
422,58
4323,64
678,-2
1285,85
3729,-2
3663,10
2631,30
3607,29
1270,19
2245,25
1411,13
1884,7
4956,47
1268,53
325,-2
1828,31
223,-6
297,146
3130,2
1997,1
2325,74
1885,101
1783,41
4261,-2
1259,0
4474,84
1451,21
746,63
180,26
4589,67
156,6
1482,59
3303,0
1335,-1
1789,6
1100,8
1127,11
2253,35
1812,109
80,47
2880,23
4282,17
214,50
1943,0
1347,0
4698,28
1414,109
1027,42
393,27
1460,40
2352,87
1738,8
4642,0
4843,35
2867,13
66,8
1517,80
3542,34
719,87
4741,76
2081,0
2094,79
3649,13
272,-4
1586,0
3684,31
1880,38
1799,62
887,-2
291,10
1373,51
728,1
4535,58
4325,108
4084,3
811,48
3036,3
3706,33
1781,1
2992,31
904,13
1228,23
495,106
1305,62
2487,14
4427,53
4691,66
3442,70
3410,78
4064,23
1377,44
4834,70
672,49
2103,33
4275,37
629,49
340,4
2922,21
3399,20
981,61
2676,0
2625,36
2269,-2
1759,39
421,1
2172,81
2283,0
924,26
427,95
3087,93
3132,3
136,0
832,7
2951,21
334,14
3823,6
4095,29
3083,1
3943,89
2677,-6
3033,5
1980,52
663,0
4146,26
659,48
515,39
3732,16
3577,4
4948,49
2194,45
265,3
3619,101
3031,37
114,9
3151,64
651,91
3300,30
1423,5
2231,1
2330,161
4271,21
1685,17
2027,2
1499,12
2264,52
4007,103
484,2
4372,64
985,0
699,6
57,58
299,25
522,-2
3525,27
3908,27
2098,23
3792,0
3203,136
4955,32
2897,58
4402,15
3912,6
1743,6
288,33
4726,30
182,22
690,10
375,111
1042,8
4844,21
3647,87
4485,0
3814,-2
4479,22
3871,128
4507,80
2718,33
4438,58
3086,19
1790,1
4757,29
4547,122
2454,30
630,9
191,12
2532,9
4376,0
1199,31
4174,97
376,-2
1609,0
3392,33
3253,-4
4634,16
107,0
2592,1
1172,44
1925,19
3212,22
1018,108
1289,-2
4044,71
4660,31
884,0
3055,32
2200,141
784,16
4510,30
2890,15
972,15
2367,23
4367,5
4458,74
1464,76
2536,39
437,60
1213,77
1319,17
4220,48
3164,0
3531,58
3985,125
2229,13
3024,32
4597,79
3625,28
2857,27
815,15
1719,1
400,19
4744,25
556,110
1203,-4
707,23
1907,19
4566,56
939,76
4483,30
4921,85
3622,64
1051,87
2726,15
1490,-2
1415,34
490,39
2841,-2
2680,37
2214,59
67,-2
4450,39
3984,51
3795,2
2130,28
4454,6
2926,1
2554,16
908,39
4482,-4
2,4
3540,14
3558,79
3981,19
2285,25
3277,19
28,173
1664,11
2960,43
1321,7
4040,59
4853,4
1982,102
881,-4
106,66
4577,30
4913,39
843,44
4185,86
268,20
190,68
2544,94
2725,64
33,16
2369,76
1543,48
4914,25
1371,6
1326,87
998,43
2282,0
2661,-2
1806,41
686,99
2603,33
744,0
2129,30
3373,27
115,10
1479,16
4132,23
4613,61
496,58
3822,105
4768,31
1390,-1
2583,29
849,83
423,113
4512,-2
3176,4
2712,4
2085,33
1903,58
4107,25
413,17
3346,36
4935,0
1343,0
3088,86
2206,50
25,17
1311,37
779,120
401,38
254,29
2376,14
198,72
1767,46
391,17
4487,68
3148,4
3101,55
851,106
4011,53
4503,12
3833,67
2704,69
1797,38
762,29
2261,8
4692,31
3591,16
