,player-name,all-time-runs-scored,all-time-average,all-time-strike-rate,all-time-100s,all-time-50s,all-time-4s,all-time-6s,all-time-wkts,all-time-ave,all-time-econ,all-time-sr,all-time-catches,ipl-last-n-runs-scored,ipl-last-n-average,ipl-last-n-strike-rate,ipl-last-n-4s,ipl-last-n-6s,ipl-last-n-wkts,ipl-last-n-ave,ipl-last-n-econ,ipl-last-n-sr,ipl-last-n-catches,ipl-last-n-run-outs,ipl-last-n-points,ipl-1-runs-scored,ipl-1-average,ipl-1-strike-rate,ipl-1-4s,ipl-1-6s,ipl-1-wkts,ipl-1-ave,ipl-1-econ,ipl-1-sr,ipl-1-catches,ipl-1-run-outs,ipl-1-points,ipl-2-runs-scored,ipl-2-average,ipl-2-strike-rate,ipl-2-4s,ipl-2-6s,ipl-2-wkts,ipl-2-ave,ipl-2-econ,ipl-2-sr,ipl-2-catches,ipl-2-run-outs,ipl-2-points,ipl-3-runs-scored,ipl-3-average,ipl-3-strike-rate,ipl-3-4s,ipl-3-6s,ipl-3-wkts,ipl-3-ave,ipl-3-econ,ipl-3-sr,ipl-3-catches,ipl-3-run-outs,ipl-3-points,ipl-4-runs-scored,ipl-4-average,ipl-4-strike-rate,ipl-4-4s,ipl-4-6s,ipl-4-wkts,ipl-4-ave,ipl-4-econ,ipl-4-sr,ipl-4-catches,ipl-4-run-outs,ipl-4-points,ipl-5-runs-scored,ipl-5-average,ipl-5-strike-rate,ipl-5-4s,ipl-5-6s,ipl-5-wkts,ipl-5-ave,ipl-5-econ,ipl-5-sr,ipl-5-catches,ipl-5-run-outs,ipl-5-points
1475,trent-boult,0.004173262339905022,0.12224541869635813,0.433225140159339,0.0,0.0,0.001863932898415657,0.0009832841691248771,0.2876447876447876,0.3001149425287356,0.6474708171206226,0.31333333333333335,0.15282392026578073,0.0,0.004424778761061947,0.0016638935108153079,0.0,0.0,0.5333333333333333,0.09915865384615385,0.2960349462365591,0.12809917355371903,0.09090909090909091,0.0,0.403448275862069,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.43548387096774194,0.0984251968503937,0.0,0.0,0.26008968609865474,0.0,0.0,0.0,0.0,0.0,0.2,0.7166666666666667,0.6612903225806451,0.5196850393700787,0.2,0.0,0.1748878923766816,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.4596774193548387,0.11220472440944881,0.0,0.0,0.29292929292929293,0.0,0.0,0.0,0.0,0.0,0.4,0.26666666666666666,0.4435483870967742,0.10826771653543307,0.0,0.0,0.35353535353535354,0.0,0.007874015748031496,0.0016638935108153079,0.0,0.0,0.2,0.39999999999999997,0.5544354838709677,0.35334645669291337,0.0,0.0,0.2171717171717172
350,virat-singh,0.1307382357173694,0.8429598700997448,0.7451165535556211,0.045454545454545456,0.12790697674418605,0.16309412861137,0.05014749262536874,0.0019305019305019305,1.0,0.6762645914396886,1.0,0.059800664451827246,0.028277634961439587,0.05309734513274336,0.1541874653355519,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.05862068965517241,0.08333333333333334,0.09448818897637795,0.1541874653355519,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.16143497757847533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.03587443946188341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04040404040404041
50,faf-du-plessis,0.4497049935242481,0.7139874739039666,0.7607553850693419,0.045454545454545456,0.47674418604651164,0.5135135135135135,0.18780727630285154,0.09652509652509653,0.21080459770114943,0.5416342412451361,0.26333333333333336,0.42524916943521596,0.6940874035989717,0.4026548672566372,0.23936296648443073,0.6136363636363636,0.34615384615384615,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.6844827586206896,0.42424242424242425,0.44881889763779526,0.246869252999387,0.4,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.40358744394618834,0.3787878787878788,0.40157480314960625,0.20457773629316992,0.3333333333333333,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.3273542600896861,0.7196969696969697,0.0,0.26511369938990575,0.6,0.36363636363636365,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.7070707070707072,0.25,0.26771653543307083,0.32465498678672805,0.26666666666666666,0.18181818181818182,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.297979797979798,0.2727272727272727,0.0,0.18317954923612162,0.2,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.3484848484848485
2668,kl-rahul,0.37221182904014966,0.9916492693110647,0.8110357037474182,0.18181818181818182,0.5,0.42031686859273065,0.20452310717797445,0.0,0.0,0.0,0.0,0.26245847176079734,0.2519280205655527,0.11283185840707965,0.1869611253970655,0.2272727272727273,0.07692307692307693,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.30000000000000004,0.11363636363636365,0.12598425196850394,0.2285584631674482,0.13333333333333333,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.20179372197309417,0.5378787878787878,0.0,0.208920804507108,0.4,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.4260089686098655,0.007575757575757576,0.015748031496062992,0.03494176372712146,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.08585858585858586,0.030303030303030304,0.03937007874015748,0.16805324459234608,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.14646464646464646,0.05303030303030303,0.06299212598425197,0.10754802601724399,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.11111111111111113
3650,ambati-rayudu,0.3862426248381062,0.6288564138250985,0.7360283269401003,0.045454545454545456,0.32558139534883723,0.412861136999068,0.19174041297935104,0.0,0.0,0.0,0.0,0.3089700996677741,0.5167095115681234,0.18230088495575222,0.2692179700499168,0.5227272727272727,0.2692307692307693,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.4793103448275862,0.5984848484848485,0.6299212598425197,0.356927643117327,0.6,0.36363636363636365,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.5291479820627802,0.09090909090909091,0.10236220472440945,0.2512479201331115,0.13333333333333333,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.09865470852017938,0.3712121212121212,0.39370078740157477,0.23460898502495842,0.3333333333333333,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.35353535353535354,0.29545454545454547,0.31496062992125984,0.2512479201331115,0.2,0.18181818181818182,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.30303030303030304,0.16666666666666669,0.18110236220472442,0.19432524739469303,0.26666666666666666,0.0,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.21212121212121215
4726,suresh-raina,0.6200172686717513,0.7541173741591277,0.8116848627913839,0.18181818181818182,0.6162790697674418,0.7222739981360671,0.3185840707964602,0.10424710424710425,0.3983908045977011,0.5587548638132296,0.48166666666666663,0.548172757475083,0.27763496143958866,0.4823008849557522,0.22351636161952304,0.25,0.038461538461538464,0.0,0.0,0.3870967741935484,0.0,0.09090909090909091,0.0,0.25689655172413794,0.26515151515151514,0.0,0.266374224776887,0.26666666666666666,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.2914798206278027,0.03787878787878788,0.047244094488188976,0.10565723793677205,0.0,0.0,0.0,0.0,0.3064516129032258,0.0,0.0,0.0,0.04035874439461883,0.5151515151515151,0.0,0.22351636161952304,0.4666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.4696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04040404040404041
4221,harbhajan-singh,0.1087926320333861,0.34029227557411273,0.7574505753909707,0.0,0.023255813953488372,0.13140726933830382,0.07177974434611603,0.4536679536679537,0.3028735632183908,0.5284046692607004,0.38666666666666666,0.26910299003322263,0.025706940874035987,0.02654867256637168,0.2096505823627288,0.0,0.038461538461538464,0.3333333333333333,0.11442307692307693,0.2161290322580645,0.2066115702479339,0.18181818181818182,0.0,0.3258620689655173,0.007575757575757576,0.0,0.05712701053799224,0.0,0.0,0.0,0.0,0.31451612903225806,0.0,0.0,0.0,0.05829596412556054,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.1388888888888889,0.3817204301075269,0.045494313210848646,0.2,0.0,0.4439461883408072,0.0,0.007874015748031496,0.0016638935108153079,0.0,0.0,0.2,0.39999999999999997,0.5080645161290323,0.30314960629921256,0.0,0.0,0.18686868686868688,0.05303030303030303,0.0,0.5840266222961731,0.0,0.09090909090909091,0.2,0.35,0.4838709677419355,0.2440944881889764,0.0,0.0,0.27272727272727276,0.015151515151515152,0.023622047244094488,0.16805324459234608,0.0,0.0,0.0,0.0,0.31451612903225806,0.0,0.2,0.0,0.10101010101010102
1230,eoin-morgan,0.5039574039430134,0.6295523080491765,0.7819415756860431,0.0,0.43023255813953487,0.5013979496738117,0.3185840707964602,0.0,0.0,0.0,0.0,0.4651162790697675,0.30077120822622105,0.1338495575221239,0.22803080137754903,0.13636363636363635,0.3076923076923077,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.3017241379310345,0.06060606060606061,0.07086614173228346,0.11259012756516917,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.06726457399103139,0.18181818181818182,0.19685039370078738,0.17528756420458655,0.13333333333333333,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.16143497757847533,0.05303030303030303,0.06299212598425197,0.11813643926788686,0.06666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.12121212121212122,0.33333333333333337,0.3543307086614173,0.4083934183767795,0.06666666666666667,0.4545454545454546,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.4090909090909091,0.25757575757575757,0.0,0.24763076032699127,0.06666666666666667,0.18181818181818182,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.2676767676767677
3631,kl-rahul,0.37221182904014966,0.9916492693110647,0.8110357037474182,0.18181818181818182,0.5,0.42031686859273065,0.20452310717797445,0.0,0.0,0.0,0.0,0.26245847176079734,0.4755784061696658,0.168141592920354,0.2693337191637127,0.5454545454545454,0.2692307692307693,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.5017241379310344,0.17424242424242425,0.1889763779527559,0.25679423183582917,0.2,0.09090909090909091,0.0,0.0,0.29032258064516125,0.0,0.2,0.0,0.21524663677130043,0.4545454545454546,0.48031496062992124,0.3714180070253282,0.6,0.18181818181818182,0.0,0.0,0.29032258064516125,0.0,0.4,0.0,0.515695067264574,0.13636363636363635,0.14960629921259844,0.14428333729498455,0.2,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.14646464646464646,0.28030303030303033,0.2992125984251968,0.28150052942066256,0.4666666666666667,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.30303030303030304,0.3560606060606061,0.3779527559055118,0.26234054353854686,0.13333333333333333,0.36363636363636365,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.3686868686868687
913,jason-holder,0.08152252122607569,0.36488053815819993,0.7589259368545294,0.0,0.023255813953488372,0.0754892823858341,0.06096361848574238,0.21814671814671815,0.3490804597701149,0.5992217898832685,0.39333333333333337,0.20598006644518274,0.012853470437017993,0.02654867256637168,0.10565723793677205,0.0,0.0,0.3333333333333333,0.0625,0.27419354838709675,0.08760330578512397,0.0,0.25,0.2793103448275862,0.03787878787878788,0.047244094488188976,0.10565723793677205,0.0,0.0,0.4,0.24166666666666667,0.4314516129032258,0.09350393700787402,0.0,0.0,0.2914798206278027,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.19999999999999998,0.41129032258064513,0.05905511811023622,0.0,0.5,0.4798206278026906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04040404040404041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29032258064516125,0.0,0.0,0.0,0.04040404040404041
