,Player-name,Average Points,Average Batting-Runs,Average wicket per match,Average sr,Average bowl econ,Matches played
0,ambati-rayudu,0.250258997114868,1.32524863699802,-1.02892278390924,0.303461433391379,-1.27796222746421,1.36475921030454
1,anuj-rawat,-0.350859586916605,-1.00181164287549,-1.02892278390924,-2.28273255948484,-1.27796222746421,-1.34898164717964
2,mitchell-santner,0.214815684377163,-0.520569244860828,0.890105155147687,2.93066167166651,0.607468158542183,-1.10668335633283
3,jaydev-unadkat,0.2247108786272,-0.825028721155815,1.04676049711152,-0.36336944710508,0.973048631782017,0.977081944949661
4,mohammed-shami,0.269835771554672,-0.89238019332694,1.21674820860418,-0.111743092205106,0.902955281332693,0.880162628610941
5,josh-philippe,-0.8518862557768,0.405822371317386,-1.02892278390924,-0.583231658832971,-1.27796222746421,-1.1551430145022
6,kuldeep-yadav,-0.462455388736464,-0.879352639809256,0.524576023898749,-0.573024304959696,0.735459592084038,0.637864337764139
7,praveen-dubey,-2.04788540079791,-0.791268093744073,-1.02892278390924,-1.0164562172333,0.891416035254403,-1.25206233084092
8,dwayne-bravo,0.210562486848638,-0.412922918989129,0.688102214194327,0.423369780076712,0.885060773786472,0.444025705086697
9,varun-chakravarthy,0.345652141683205,-0.950249957373915,1.25563428639662,-0.934327001275971,0.551950255216531,-0.379788483792429
10,sandeep-sharma,-0.100504704943453,-0.943425616645766,0.927733153952724,-0.548947831130281,0.719733386669417,1.07400126128838
11,mayank-agarwal,0.399782519117665,1.32820363417881,-1.02892278390924,0.577830018378679,-1.27796222746421,0.78324331227222
12,rahul-tripathi,-0.001197674715787,1.03710596890536,-1.02892278390924,0.549842727479432,-1.22090002158255,1.12246091945774
13,jofra-archer,1.30691528977289,-0.499085209235174,1.49322822170843,0.774344166384281,0.490156414993196,0.298646730578616
14,shivam-dube,-0.543266141778431,0.347385794415606,-0.663393652660297,0.395911794206222,-0.318320844422703,-0.379788483792429
15,chris-jordan,-0.189238080832672,-0.608653790926011,0.615958306710984,-0.208066045439298,1.03524449530167,-0.719006090977952
16,rajat-patidar,-0.63369722256349,0.599823213017045,-1.02892278390924,0.035265780066732,-1.27796222746421,-1.20360267267156
17,adam-milne,-0.641778297867687,-0.875485513396638,0.122493979524918,-1.27015051165665,1.28127770632807,-1.1551430145022
18,rahul-chahar,0.459374542267326,-0.928200552389691,1.04160736086271,-0.056841477090449,0.608509293526691,0.444025705086697
19,chris-gayle,0.957264477950234,1.86308450780552,-1.02892278390924,0.57997157662219,-1.24705353261164,0.928622286780301
20,riley-meredith,-0.997345611252341,-1.00181164287549,0.506299567336303,-2.28273255948484,1.25407805485782,-1.1551430145022
21,manish-pandey,0.468978536686576,1.38790615210456,-1.02892278390924,0.377336450849554,-1.27796222746421,1.60705750115135
22,mayank-markande,-0.065645164415546,-0.858500487584356,0.777221158732574,-0.020416040889444,0.936118492750973,-0.57362711646987
23,devdutt-padikkal,1.08449331235262,1.86845551671193,-1.02892278390924,0.467877158058277,-1.27796222746421,-0.379788483792429
24,kedar-jadhav,-0.954919965905308,0.25017053320952,-1.02892278390924,0.332919164107206,-1.27796222746421,0.540945021425418
25,shreyas-gopal,0.114294991568863,-0.656285469910694,0.890105155147687,0.161705952046044,0.75121620572479,0.589404679594778
26,mitchell-marsh,-2.77518217817561,-1.00181164287549,-1.02892278390924,-2.28273255948484,0.947463801920385,-1.34898164717964
27,dhawal-kulkarni,-1.35477778816873,-0.9497541719364,-0.069408814380774,0.26515467507672,1.07956280853642,-0.137490192945627
28,jalaj-saxena,-2.61356067209168,-1.00181164287549,-1.02892278390924,-2.28273255948484,0.947463801920385,-1.34898164717964
29,glenn-maxwell,0.275872697786649,0.622381450423982,-0.43189186953597,0.505054370239908,-0.101178922641974,0.78324331227222
30,sunil-narine,1.05775543593561,0.328346493878389,0.459978203290101,0.991792465932272,0.580865364627701,1.4132188684739
31,shahbaz-nadeem,-0.726805264111843,-0.942964067031302,0.389489171045881,-1.20480619941874,0.958214652303885,-0.282869167453708
32,krishnappa-gowtham,-0.222909227933491,-0.302506283260437,0.010550683079931,1.27555644730194,0.954160685805107,-0.234409509284348
33,virat-kohli,1.0215763689128,1.95482133992706,-1.02892278390924,0.513380744210818,-1.27796222746421,1.51013818481263
34,sarfaraz-khan,-1.17916980559677,0.18926329221079,-1.02892278390924,0.419309909790271,-1.05541962452575,-0.428248141961789
35,fabian-allen,-0.552886469521523,-0.731112793992241,-0.069408814380774,-0.999992743244141,0.638376853394747,-1.30052198901028
36,mujeeb-ur-rahman,-0.167972093190049,-0.944822411531644,0.890105155147687,-0.976120705959867,0.758758085978417,-0.47670780013115
37,nathan-coulter-nile,0.603717433391629,-0.781868828157849,1.36986213991192,0.398414737394648,0.718894003485676,-0.622086774639231
38,abhishek-sharma,-0.830970531460056,-0.205638557924766,-0.464502801833669,0.513157311349537,0.227473027707723,-0.57362711646987
39,axar-patel,0.461655802759899,-0.125731731944258,0.401625316115016,0.846733053546798,0.517214769572697,1.26783989396582
40,abdul-samad,-1.26503123070386,-0.172796418170549,-0.908983537718177,1.11864254780954,-0.478199748154119,-0.622086774639231
41,shimron-hetmyer,-0.579237802035208,0.406607005661975,-1.02892278390924,0.797482627106453,-1.27796222746421,-0.282869167453708
42,imran-tahir,0.855085496940439,-0.967106662249428,1.57898697942453,-0.479590170196484,0.562293912219206,0.492485363256058
43,suresh-raina,0.496890954429312,1.3697826746991,-0.992714709587406,0.415771038242445,-1.00969808346082,1.1709205776271
